ra_h,dec,mag,name
22.0552,-2.155,4.74,
23.6308,-45.492,4.74,
7.2439,-48.272,4.75,
11.804,-66.815,4.75,
13.8868,-31.928,4.75,
14.2694,51.367,4.75,
15.6991,-19.679,4.75,
15.7114,-34.71,4.75,
20.593,-60.582,4.75,
23.3104,68.111,4.75,
0.5236,-48.804,4.76,
2.8413,-75.067,4.76,
2.8506,-21.004,4.76,Angetenar
5.874,1.855,4.76,
6.3141,69.32,4.76,
7.9611,-30.335,4.76,
9.6881,-23.592,4.76,
10.7039,-64.466,4.76,
11.3189,38.186,4.76,
12.4004,51.562,4.76,
12.9821,17.409,4.76,
13.4575,-15.974,4.76,
13.8632,34.444,4.76,
14.377,-58.459,4.76,
17.3665,-67.771,4.76,
17.6733,-49.416,4.76,
19.2703,21.39,4.76,
21.632,62.082,4.76,
23.1185,25.468,4.76,
0.7365,-10.61,4.77,
3.0923,56.706,4.77,
5.6481,-7.213,4.77,
6.7888,8.037,4.77,
9.3296,-11.975,4.77,
11.5052,-3.004,4.77,
12.9059,-9.539,4.77,
17.6159,68.758,4.77,
18.0514,-8.18,4.77,
18.5429,57.046,4.77,
20.0593,-37.941,4.77,
20.2964,38.033,4.77,
20.3444,-12.759,4.77,Alshat
20.481,-17.814,4.77,
22.7914,83.154,4.77,
0.0266,-77.066,4.78,
0.8835,-1.144,4.78,
2.1415,37.859,4.78,
3.7673,63.345,4.78,
4.5093,16.194,4.78,
4.9988,-12.537,4.78,
5.5841,-6.002,4.78,
8.141,51.507,4.78,
8.2249,-35.9,4.78,
9.7367,-27.769,4.78,
10.3289,19.471,4.78,
12.3751,25.846,4.78,
13.2934,5.47,4.78,
14.3452,-45.187,4.78,
14.3849,-27.754,4.78,
17.5236,-23.963,4.78,
17.8364,-40.09,4.78,
18.7575,-64.871,4.78,
22.3554,28.331,4.78,
22.4643,4.696,4.78,
0.2434,20.207,4.79,
1.9655,23.596,4.79,
4.8772,36.703,4.79,
8.3755,-48.49,4.79,
9.3491,-62.405,4.79,
13.2542,-67.895,4.79,
15.8539,35.657,4.79,
16.5035,-25.115,4.79,
17.8196,-31.703,4.79,
18.0044,4.369,4.79,
20.2544,25.592,4.79,
22.1634,72.341,4.79,
22.2603,-41.347,4.79,
0.7011,50.513,4.8,
0.8845,61.124,4.8,
3.2639,-8.82,4.8,Zibal
4.3592,46.499,4.8,
4.4016,17.444,4.8,
5.024,-7.174,4.8,
6.6555,42.489,4.8,
9.1732,67.134,4.8,
9.2698,54.022,4.8,
9.3414,-9.556,4.8,
10.7353,-63.961,4.8,
12.5809,22.629,4.8,
13.1196,27.625,4.8,
14.1475,77.548,4.8,
14.3,35.51,4.8,
14.7237,26.528,4.8,
15.0351,25.008,4.8,
16.305,-28.614,4.8,
17.2888,33.1,4.8,
20.2217,46.816,4.8,
20.8874,44.387,4.8,
21.346,-40.809,4.8,
22.4213,1.377,4.8,
22.6959,29.308,4.8,
11.3031,31.529,4.8,Alula Australis B
5.1617,15.597,4.81,
5.2293,-67.185,4.81,
5.2914,-34.895,4.81,
5.9666,25.954,4.81,
8.0055,-63.567,4.81,
9.5844,39.621,4.81,
11.4102,-10.859,4.81,
14.47,-2.228,4.81,Elgafar
18.4225,-20.542,4.81,
20.642,21.201,4.81,
20.8156,46.114,4.81,
1.9528,-47.385,4.82,
5.2238,38.484,4.82,
6.6546,-14.146,4.82,
6.8925,-20.224,4.82,
7.5633,-14.524,4.82,
10.3721,-41.65,4.82,
10.5105,55.981,4.82,
12.4422,-51.451,4.82,
13.6243,36.295,4.82,
14.1733,25.092,4.82,
16.0382,22.804,4.82,
16.3679,1.029,4.82,
16.8206,45.983,4.82,
17.0177,-4.223,4.82,
18.4331,65.563,4.82,Fafnir
18.9066,71.297,4.82,
21.0734,-19.855,4.82,
22.3586,12.205,4.82,
22.5108,-10.678,4.82,
23.2957,49.015,4.82,
23.6961,-17.817,4.82,
0.9167,58.973,4.83,
1.4609,45.407,4.83,
2.6594,-11.872,4.83,
2.759,-67.617,4.83,
7.1475,-39.656,4.83,
7.2769,-23.316,4.83,
8.3564,-33.054,4.83,
8.7071,-53.114,4.83,
13.0593,-49.527,4.83,
15.0632,47.654,4.83,
15.2138,-44.5,4.83,
16.4774,41.882,4.83,
17.0804,-34.123,4.83,
18.7679,26.662,4.83,
18.951,-5.846,4.83,
18.9787,-37.107,4.83,
1.5031,6.144,4.84,
2.2204,44.232,4.84,
2.2842,34.224,4.84,
3.3227,3.37,4.84,
4.2323,9.264,4.84,
5.6883,16.534,4.84,
7.6576,-38.308,4.84,
8.5888,-58.009,4.84,
11.0093,3.617,4.84,
11.7547,8.258,4.84,
14.3292,16.307,4.84,
16.5434,11.488,4.84,
16.682,64.589,4.84,
16.7549,56.782,4.84,
19.9826,-26.196,4.84,
22.725,-41.414,4.84,
22.7605,-53.5,4.84,
23.1102,59.42,4.84,
16.0728,-11.375,4.84,Graffias
3.199,74.394,4.85,
3.3122,34.223,4.85,
7.4976,-23.024,4.85,
10.149,-51.811,4.85,
13.2009,-37.803,4.85,
15.2941,-63.61,4.85,
17.9465,-44.342,4.85,
18.3478,3.377,4.85,
18.9744,-52.939,4.85,
0.4655,-33.007,4.86,
3.3061,-22.511,4.86,
6.7706,59.442,4.86,
8.6618,-29.561,4.86,
10.5849,75.713,4.86,
13.287,-66.783,4.86,
14.3896,8.447,4.86,
14.6941,8.162,4.86,
16.3683,30.892,4.86,
16.5681,-44.045,4.86,
16.6458,48.928,4.86,
17.5378,55.173,4.86,
17.7238,-21.683,4.86,
18.7387,-35.642,4.86,
18.9028,-22.745,4.86,Ainalrami
19.259,-25.257,4.86,
20.6265,-61.53,4.86,
22.0947,5.059,4.86,
1.3723,45.529,4.87,Adhil
2.5979,5.593,4.87,
3.2484,21.044,4.87,
4.2399,-10.256,4.87,
7.2204,-45.183,4.87,
8.6954,-15.943,4.87,
8.9254,-27.682,4.87,
9.9034,-25.932,4.87,
10.6205,-27.413,4.87,
10.7809,-64.383,4.87,
19.7727,-19.761,4.87,
21.5796,38.534,4.87,
2.4325,-12.29,4.88,
5.4606,21.937,4.88,
5.8169,24.568,4.88,
5.8852,-33.801,4.88,
7.3112,-24.559,4.88,
11.9938,-78.222,4.88,
12.6981,10.236,4.88,
13.0046,30.785,4.88,
16.9337,65.135,4.88,
17.9633,-41.716,4.88,
18.7253,-8.275,4.88,
19.2939,-18.953,4.88,
19.5869,-48.099,4.88,
23.7843,58.652,4.88,
23.9779,-3.556,4.88,
23.9835,55.755,4.88,
0.1877,-15.468,4.89,
4.8318,37.488,4.89,
5.4125,1.846,4.89,
5.8258,12.651,4.89,
7.6528,34.584,4.89,Jishui
7.7687,18.51,4.89,
10.5228,-53.715,4.89,
10.6259,-13.385,4.89,
11.7754,-40.5,4.89,
11.8642,-65.206,4.89,
12.8883,21.245,4.89,
14.3039,-81.008,4.89,
17.0896,12.741,4.89,
17.5363,55.184,4.89,
19.7379,37.354,4.89,
20.8328,-33.78,4.89,
22.6544,39.05,4.89,
23.5005,58.549,4.89,
0.8139,50.968,4.9,
1.427,-14.599,4.9,
5.708,1.475,4.9,
6.9603,45.094,4.9,
12.8448,-33.999,4.9,
13.2376,-59.103,4.9,
16.0567,-38.603,4.9,
16.0907,-19.802,4.9,Acrab B
16.4744,-70.084,4.9,
19.8511,22.61,4.9,
20.8247,-46.227,4.9,
2.7041,40.194,4.91,
4.5313,-0.044,4.91,
5.0238,-20.052,4.91,
5.1242,18.645,4.91,
6.3332,-2.944,4.91,
7.1705,-4.237,4.91,
7.1943,39.321,4.91,
10.643,-16.877,4.91,
12.6991,-59.686,4.91,
13.5799,37.182,4.91,
15.0162,-8.519,4.91,
15.2437,-31.519,4.91,
16.6929,-17.742,4.91,
17.0889,54.47,4.91,
19.9272,52.439,4.91,
20.4942,-2.886,4.91,
20.6121,-2.55,4.91,
22.55,-61.982,4.91,
22.9205,8.816,4.91,
1.9445,-22.527,4.92,
6.0307,-10.598,4.92,
6.0831,-16.484,4.92,
6.415,49.288,4.92,
7.0649,-49.584,4.92,
7.5179,82.411,4.92,
9.2602,-38.57,4.92,
11.0889,-27.294,4.92,
12.44,27.268,4.92,
13.5689,3.659,4.92,
13.8286,21.264,4.92,
14.7498,-35.192,4.92,
15.4033,-10.322,4.92,
18.1139,-43.425,4.92,
18.3383,21.961,4.92,
18.5293,-45.915,4.92,
18.8871,50.708,4.92,
20.7479,25.271,4.92,
4.1807,-41.994,4.93,
4.2877,20.579,4.93,
4.3402,34.567,4.93,
4.9876,37.89,4.93,
7.5944,-52.534,4.93,
7.7168,58.71,4.93,
7.9956,-3.68,4.93,
8.9496,-59.229,4.93,
9.704,-23.916,4.93,
11.5379,-29.261,4.93,
11.6816,-62.09,4.93,
12.2724,23.945,4.93,
12.8616,27.541,4.93,
13.0121,56.366,4.93,
14.1807,-16.302,4.93,
14.8503,-2.299,4.93,
15.1217,24.869,4.93,
16.2,-10.064,4.93,
19.6148,-7.027,4.93,
20.1231,-52.881,4.93,
20.1571,36.84,4.93,
20.2422,36.806,4.93,
20.7863,34.374,4.93,
23.2808,-7.727,4.93,
23.7332,29.361,4.93,
2.2062,30.303,4.94,
2.9844,35.183,4.94,
6.9378,-48.721,4.94,
7.3704,-19.017,4.94,
8.0586,27.794,4.94,
8.8299,-45.308,4.94,
9.9145,-19.009,4.94,Felis
10.4022,65.566,4.94,
10.5172,-73.221,4.94,
13.1509,-23.118,4.94,
13.2286,40.153,4.94,
16.4664,68.768,4.94,
19.0002,32.146,4.94,
20.2379,15.198,4.94,
20.501,48.952,4.94,
22.1691,-32.548,4.94,
0.7245,47.025,4.95,
1.3347,58.232,4.95,
3.9571,63.072,4.95,
5.6808,-1.129,4.95,
6.2009,16.13,4.95,
11.4656,2.856,4.95,
12.5789,70.022,4.95,
15.9698,-14.279,4.95,
16.2246,-54.63,4.95,
16.2918,75.755,4.95,
19.931,38.487,4.95,
20.0291,-59.376,4.95,
22.8672,43.312,4.95,
23.4489,1.256,4.95,
23.7732,3.487,4.95,
1.6763,40.577,4.96,
1.6964,42.613,4.96,
2.5641,-28.232,4.96,
3.3574,43.33,4.96,
4.474,16.36,4.96,
5.3213,22.096,4.96,
5.9141,55.707,4.96,
13.8312,-18.134,4.96,
15.9632,54.75,4.96,
16.0557,-25.865,4.96,
18.1005,22.219,4.96,
18.1954,-23.701,4.96,
18.1984,31.405,4.96,
23.414,62.283,4.96,
1.253,-45.532,4.97,
1.9333,68.685,4.97,
3.7063,33.965,4.97,
4.0217,-61.079,4.97,
4.3392,27.351,4.97,
5.925,-37.121,4.97,
7.8916,26.766,4.97,
10.3828,-66.901,4.97,
12.3392,3.313,4.97,
13.4738,13.779,4.97,
14.4696,-29.492,4.97,
15.6714,-23.818,4.97,
16.2836,-50.068,4.97,
17.0522,14.092,4.97,
23.5659,31.325,4.97,
23.6631,-14.222,4.97,
23.7672,46.42,4.97,
1.7121,-3.69,4.98,
2.157,25.94,4.98,
2.9799,-64.071,4.98,
5.1113,51.598,4.98,
5.5877,-5.387,4.98,
5.5897,-5.416,4.98,
7.6731,-15.264,4.98,
8.6671,-12.475,4.98,
11.0124,6.101,4.98,
11.8324,-70.226,4.98,
12.4498,26.826,4.98,
15.5297,40.899,4.98,
16.024,29.851,4.98,
18.3985,58.801,4.98,
18.9374,4.202,4.98,Alya B
19.3425,-5.416,4.98,
19.9321,58.846,4.98,
0.075,-10.51,4.99,
2.0384,54.488,4.99,
3.4675,49.063,4.99,
3.7041,-31.938,4.99,
3.9523,61.109,4.99,
4.6482,-12.123,4.99,
5.3806,3.544,4.99,
6.8461,41.781,4.99,
6.8479,-34.367,4.99,
7.0485,-4.239,4.99,
7.4275,9.276,4.99,
8.2222,-15.788,4.99,
9.0995,5.092,4.99,
9.1846,-44.868,4.99,
9.5324,11.3,4.99,
11.3804,43.483,4.99,
12.275,33.062,4.99,
13.6958,-54.559,4.99,
14.2044,2.409,4.99,
15.369,-47.928,4.99,
15.3867,30.288,4.99,
15.9917,-41.744,4.99,
18.2315,64.397,4.99,
19.4021,29.621,4.99,
20.0721,-32.056,4.99,
22.1405,-34.044,4.99,
22.9406,49.734,4.99,
23.316,-9.611,4.99,
4.0742,59.156,5.0,
5.4071,17.384,5.0,
6.1255,-37.253,5.0,Elkurud
6.2625,-13.718,5.0,
6.9352,-14.043,5.0,
7.3089,49.465,5.0,
9.6202,6.836,5.0,
11.3869,-36.165,5.0,
11.7253,-62.489,5.0,
15.5236,77.349,5.0,
16.1346,17.047,5.0,Marsic
17.9848,-30.253,5.0,
18.1246,43.462,5.0,
18.9186,-22.671,5.0,
19.024,46.935,5.0,
19.232,57.705,5.0,
19.5764,19.773,5.0,
19.7738,33.728,5.0,
23.9597,-64.298,5.0,
8.7449,-54.708,5.0,
16.0728,-11.375,5.0,
19.1068,-37.065,5.0,
